ID|quantity|unit_price|track_ID|invoice_ID
1|1|99|2|1
2|1|99|4|1
3|1|99|6|2
4|1|99|8|2
5|1|99|10|2
6|1|99|12|2
7|1|99|16|3
8|1|99|20|3
9|1|99|24|3
10|1|99|28|3
11|1|99|32|3
12|1|99|36|3
13|1|99|42|4
14|1|99|48|4
15|1|99|54|4
16|1|99|60|4
17|1|99|66|4
18|1|99|72|4
19|1|99|78|4
20|1|99|84|4
21|1|99|90|4
22|1|99|99|5
23|1|99|108|5
24|1|99|117|5
25|1|99|126|5
26|1|99|135|5
27|1|99|144|5
28|1|99|153|5
29|1|99|162|5
30|1|99|171|5
31|1|99|180|5
32|1|99|189|5
33|1|99|198|5
34|1|99|207|5
35|1|99|216|5
36|1|99|230|6
37|1|99|231|7
38|1|99|232|7
39|1|99|234|8
40|1|99|236|8
41|1|99|238|9
42|1|99|240|9
43|1|99|242|9
44|1|99|244|9
45|1|99|248|10
46|1|99|252|10
47|1|99|256|10
48|1|99|260|10
49|1|99|264|10
50|1|99|268|10
51|1|99|274|11
52|1|99|280|11
53|1|99|286|11
54|1|99|292|11
55|1|99|298|11
56|1|99|304|11
57|1|99|310|11
58|1|99|316|11
59|1|99|322|11
60|1|99|331|12
61|1|99|340|12
62|1|99|349|12
63|1|99|358|12
64|1|99|367|12
65|1|99|376|12
66|1|99|385|12
67|1|99|394|12
68|1|99|403|12
69|1|99|412|12
70|1|99|421|12
71|1|99|430|12
72|1|99|439|12
73|1|99|448|12
74|1|99|462|13
75|1|99|463|14
76|1|99|464|14
77|1|99|466|15
78|1|99|468|15
79|1|99|470|16
80|1|99|472|16
81|1|99|474|16
82|1|99|476|16
83|1|99|480|17
84|1|99|484|17
85|1|99|488|17
86|1|99|492|17
87|1|99|496|17
88|1|99|500|17
89|1|99|506|18
90|1|99|512|18
91|1|99|518|18
92|1|99|524|18
93|1|99|530|18
94|1|99|536|18
95|1|99|542|18
96|1|99|548|18
97|1|99|554|18
98|1|99|563|19
99|1|99|572|19
100|1|99|581|19
101|1|99|590|19
102|1|99|599|19
103|1|99|608|19
104|1|99|617|19
105|1|99|626|19
106|1|99|635|19
107|1|99|644|19
108|1|99|653|19
109|1|99|662|19
110|1|99|671|19
111|1|99|680|19
112|1|99|694|20
113|1|99|695|21
114|1|99|696|21
115|1|99|698|22
116|1|99|700|22
117|1|99|702|23
118|1|99|704|23
119|1|99|706|23
120|1|99|708|23
121|1|99|712|24
122|1|99|716|24
123|1|99|720|24
124|1|99|724|24
125|1|99|728|24
126|1|99|732|24
127|1|99|738|25
128|1|99|744|25
129|1|99|750|25
130|1|99|756|25
131|1|99|762|25
132|1|99|768|25
133|1|99|774|25
134|1|99|780|25
135|1|99|786|25
136|1|99|795|26
137|1|99|804|26
138|1|99|813|26
139|1|99|822|26
140|1|99|831|26
141|1|99|840|26
142|1|99|849|26
143|1|99|858|26
144|1|99|867|26
145|1|99|876|26
146|1|99|885|26
147|1|99|894|26
148|1|99|903|26
149|1|99|912|26
150|1|99|926|27
151|1|99|927|28
152|1|99|928|28
153|1|99|930|29
154|1|99|932|29
155|1|99|934|30
156|1|99|936|30
157|1|99|938|30
158|1|99|940|30
159|1|99|944|31
160|1|99|948|31
161|1|99|952|31
162|1|99|956|31
163|1|99|960|31
